TamanyFiltre	NumHash	TamanyClau	porcentatge	FalsosPositius	FalsosNegatius
550	5	10	33	25	21
550	5	10	66	0	330
550	5	10	99	0	495
550	6	2	0	435	0
550	6	2	33	64	45
550	6	2	66	1	338
550	6	2	99	0	495
550	6	3	0	489	0
550	6	3	33	29	11
550	6	3	66	0	329
550	6	3	99	0	495
550	6	4	0	486	0
550	6	4	33	35	13
550	6	4	66	0	330
550	6	4	99	0	495
550	6	5	0	488	0
550	6	5	33	23	16
550	6	5	66	0	330
550	6	5	99	0	495
550	6	6	0	482	0
550	6	6	33	36	15
550	6	6	66	0	329
550	6	6	99	0	495
550	6	7	0	478	0
550	6	7	33	38	9
550	6	7	66	0	330
550	6	7	99	0	495
550	6	8	0	493	0
550	6	8	33	30	13
550	6	8	66	0	330
550	6	8	99	0	495
550	6	9	0	496	0
550	6	9	33	30	11
550	6	9	66	0	330
550	6	9	99	0	495
550	6	10	0	467	0
550	6	10	33	29	14
550	6	10	66	0	330
550	6	10	99	0	495
550	7	2	0	447	0
550	7	2	33	62	45
550	7	2	66	1	340
550	7	2	99	0	495
550	7	3	0	499	0
550	7	3	33	35	6
550	7	3	66	0	330
550	7	3	99	0	495
550	7	4	0	489	0
550	7	4	33	42	8
550	7	4	66	0	330
550	7	4	99	0	495
550	7	5	0	494	0
550	7	5	33	29	8
550	7	5	66	0	330
550	7	5	99	0	495
550	7	6	0	478	0
550	7	6	33	43	10
550	7	6	66	0	330
550	7	6	99	0	495
550	7	7	0	495	0
550	7	7	33	47	7
550	7	7	66	0	330
550	7	7	99	0	495
550	7	8	0	500	0
550	7	8	33	29	9
550	7	8	66	0	330
550	7	8	99	0	495
550	7	9	0	500	0
550	7	9	33	45	6
550	7	9	66	0	329
550	7	9	99	0	495
550	7	10	0	472	0
550	7	10	33	29	9
550	7	10	66	0	330
